Date,All_Causes,Diabetes,Ozone,Temperature
2014-11-10,1284,14,28.18331541666667,11.233333333333334
2014-12-10,1301,13,59.443763888888896,10.366666666666667
2014-10-13,1344,13,48.36899361111111,10.566666666666668
2014-10-14,1308,15,41.593823075673164,11.633333333333335
2014-10-15,1329,17,32.77912152777778,11.766666666666667
2014-10-16,1299,12,24.471297499999995,13.033333333333333
2014-10-17,1360,9,29.656537361111116,14.0
2014-10-18,1403,15,46.23033152777777,16.233333333333334
2014-10-19,1296,13,52.61555055555556,16.3
2014-10-20,1309,17,35.31983041666667,13.933333333333332
2014-10-21,1254,10,57.35828750000002,12.800000000000002
2014-10-22,1281,22,41.08783763888889,10.100000000000001
2014-10-23,1338,7,32.96448055555556,12.833333333333334
2014-10-24,1418,15,26.94680152777778,13.366666666666667
2014-10-25,1275,17,39.431965416666664,11.966666666666669
2014-10-26,1284,13,56.52355111111112,13.033333333333333
2014-10-27,1370,16,41.76192402777778,14.700000000000001
2014-10-28,1361,23,33.836320694444446,15.100000000000001
2014-10-29,1355,21,41.95864708333333,10.9
2014-10-30,1294,12,23.47504111111111,11.4
2014-10-31,1333,14,32.26907972222222,15.233333333333333
2014-01-11,1263,16,36.03435625000001,14.966666666666669
2014-02-11,1235,8,46.60421693578365,13.366666666666667
2014-03-11,1360,20,45.48667416666668,10.0
2014-04-11,1295,14,61.44294041666666,7.166666666666667
2014-05-11,1282,11,59.94761597222222,7.5
2014-06-11,1308,9,48.50918736111111,6.133333333333333
2014-07-11,1364,16,44.94871754028342,9.700000000000001
2014-08-11,1441,21,50.33586541666667,10.033333333333333
2014-09-11,1354,14,30.46052916666666,8.833333333333334
2014-10-11,1381,12,27.64420430555556,8.1
2014-11-11,1375,6,33.70931194444445,9.200000000000001
2014-12-11,1458,20,55.3418911111111,11.566666666666668
2014-11-13,1294,15,36.06861527777777,10.9
2014-11-14,1411,19,24.05724541666667,11.800000000000002
2014-11-15,1302,16,9.635840972222221,9.366666666666667
2014-11-16,1414,14,21.297314305555556,8.4
2014-11-17,1336,13,23.942896388888887,8.6
2014-11-18,1315,15,18.864618472222222,9.533333333333333
2014-11-19,1321,12,12.7906125,9.700000000000001
2014-11-20,1315,16,3.9044238888888887,8.700000000000001
2014-11-21,1394,16,10.875436111111114,7.8999999999999995
2014-11-22,1381,18,10.353582023864332,9.100000000000001
2014-11-23,1321,18,35.937451111111116,9.166666666666666
2014-11-24,1343,16,18.442335972222228,6.900000000000001
2014-11-25,1320,16,6.959721057184979,5.333333333333333
2014-11-26,1400,13,7.903270972222221,5.366666666666667
2014-11-27,1373,12,3.139536666666667,7.8
2014-11-28,1413,16,2.5512425000000003,8.666666666666668
2014-11-29,1418,16,4.099553049242425,10.466666666666667
2014-11-30,1395,19,20.204245889843996,9.033333333333333
2014-01-12,1363,15,29.897496388888893,7.733333333333334
2014-02-12,1378,17,62.28100055555555,6.7
2014-03-12,1392,18,25.658124444444443,3.9333333333333336
2014-04-12,1428,14,54.43173722222222,3.8666666666666667
2014-05-12,1542,13,49.67160638888888,4.266666666666667
2014-06-12,1468,17,49.69182430555555,4.033333333333334
2014-07-12,1544,23,42.757236388888884,5.400000000000001
2014-08-12,1425,23,52.9747023611111,4.733333333333333
2014-09-12,1537,16,35.46291055555556,4.8
2014-10-12,1596,12,30.087571388888893,6.333333333333333
2014-11-12,1564,18,37.820059166666674,5.766666666666667
2014-12-12,1706,18,48.254261944444444,5.300000000000001
2014-12-13,1611,11,27.157830972222218,3.533333333333333
2014-12-14,1574,18,46.03612972222223,4.066666666666666
2014-12-15,1612,23,43.46568013888889,6.866666666666667
2014-12-16,1673,25,37.33902402777777,5.966666666666668
2014-12-17,1819,24,41.55502305555555,7.366666666666667
2014-12-18,1706,17,50.04194458333333,10.866666666666667
2014-12-19,1732,21,60.19741777777778,9.566666666666668
2014-12-20,1618,9,63.355588055555565,7.300000000000001
2014-12-21,1697,17,58.35183916666667,8.366666666666667
2014-12-22,1797,16,58.70714958333334,10.333333333333334
2014-12-23,1854,23,59.98160083333334,11.266666666666666
2014-12-24,1758,23,59.13561347222222,8.633333333333335
2014-12-25,1676,15,52.23088319444443,6.133333333333334
2014-12-26,1793,20,32.91929916666666,3.5000000000000004
2014-12-27,1890,18,46.36729541666667,2.566666666666667
2014-12-28,1811,19,27.288872638888886,2.0333333333333337
2014-12-29,1927,24,27.879194722222223,2.1
2014-12-30,1961,19,13.173408888888888,2.3666666666666667
2014-12-31,1988,18,26.91764888888889,4.566666666666666
